"mob_name","price","discount","rating","voting","buy status","ratings","afforability"
"POCO C55 (Forest Green, 64 GB)",6499,45,4.2,90921,"No","poor rating","Affordable"
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)",5499,45,4,156550,"No","poor rating","Affordable"
"POCO C55 (Cool Blue, 128 GB)",7499,46,4.1,101784,"No","poor rating","Affordable"
"POCO C51 (Royal Blue, 64 GB)",5799,42,4,156550,"No","poor rating","Affordable"
"POCO C55 (Cool Blue, 64 GB)",6499,45,4.2,90921,"No","poor rating","Affordable"
"MOTOROLA G32 (Mineral Gray, 128 GB)",9999,47,4.1,102006,"Buy","poor rating","Costly"
"MOTOROLA e13 (Cosmic Black, 64 GB)",6499,40,4.1,86228,"No","poor rating","Affordable"
"MOTOROLA e13 (Aurora Green, 64 GB)",6499,40,4.1,86228,"No","poor rating","Affordable"
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)",5499,45,4,156550,"No","poor rating","Affordable"
"POCO C55 (Forest Green, 128 GB)",7499,46,4.1,101784,"No","poor rating","Affordable"
"REDMI 12C (Matte Black, 64 GB)",6999,50,4.2,19867,"Buy","poor rating","Affordable"
"POCO C55 (Power Black, 128 GB)",7499,46,4.1,101784,"No","poor rating","Affordable"
"REDMI A2 (Sea Green, 64 GB)",5499,45,4.1,1966,"No","poor rating","Affordable"
"realme C55 (Sunshower, 64 GB)",8999,30,4.4,101729,"No","good rating","Costly"
"realme C55 (Rainy Night, 64 GB)",8999,30,4.4,101729,"No","good rating","Costly"
"realme C55 (Rainforest, 64 GB)",8999,30,4.4,101729,"No","good rating","Costly"
"POCO C51 (Power Black, 64 GB)",5799,42,4,156550,"No","poor rating","Affordable"
"REDMI A2 (Aqua Blue, 64 GB)",5499,45,4.1,1966,"No","poor rating","Affordable"
"REDMI 12 (Jade Black, 128 GB)",9499,36,4.3,87133,"No","good rating","Costly"
"REDMI 12 (Pastel Blue, 128 GB)",9499,36,4.3,87133,"No","good rating","Costly"
"Infinix SMART 8 HD (Shiny Gold, 64 GB)",6299,21,4.4,5876,"No","good rating","Affordable"
"Infinix SMART 8 HD (Crystal Green, 64 GB)",6299,21,4.4,5876,"No","good rating","Affordable"
"Infinix SMART 8 HD (Timber Black, 64 GB)",6299,21,4.4,5876,"No","good rating","Affordable"
"MOTOROLA g14 (Pale Lilac, 128 GB)",8499,34,4.1,34226,"No","poor rating","Costly"
