"mob_name","price","discount","rating","voting","buy status","ratings","afforability","buy status (to number)"
"POCO C55 (Forest Green, 64 GB)",0.22222222222222232,45,4.2,0.5754476530559437,"No","poor rating","Affordable",0
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)",0,45,4,1,"No","poor rating","Affordable",0
"POCO C55 (Cool Blue, 128 GB)",0.44444444444444464,46,4.1,0.645720126274388,"No","poor rating","Affordable",0
"POCO C51 (Royal Blue, 64 GB)",0.06666666666666665,42,4,1,"No","poor rating","Affordable",0
"POCO C55 (Cool Blue, 64 GB)",0.22222222222222232,45,4.2,0.5754476530559437,"No","poor rating","Affordable",0
"MOTOROLA G32 (Mineral Gray, 128 GB)",1,47,4.1,0.6471562386792942,"Buy","poor rating","Costly",1
"MOTOROLA e13 (Cosmic Black, 64 GB)",0.22222222222222232,40,4.1,0.5450887543342131,"No","poor rating","Affordable",0
"MOTOROLA e13 (Aurora Green, 64 GB)",0.22222222222222232,40,4.1,0.5450887543342131,"No","poor rating","Affordable",0
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)",0,45,4,1,"No","poor rating","Affordable",0
"POCO C55 (Forest Green, 128 GB)",0.44444444444444464,46,4.1,0.645720126274388,"No","poor rating","Affordable",0
"REDMI 12C (Matte Black, 64 GB)",0.3333333333333335,50,4.2,0.11580111783884489,"Buy","poor rating","Affordable",1
"POCO C55 (Power Black, 128 GB)",0.44444444444444464,46,4.1,0.645720126274388,"No","poor rating","Affordable",0
"REDMI A2 (Sea Green, 64 GB)",0,45,4.1,0,"No","poor rating","Affordable",0
"realme C55 (Sunshower, 64 GB)",0.7777777777777779,30,4.4,0.6453643326605599,"No","good rating","Costly",0
"realme C55 (Rainy Night, 64 GB)",0.7777777777777779,30,4.4,0.6453643326605599,"No","good rating","Costly",0
"realme C55 (Rainforest, 64 GB)",0.7777777777777779,30,4.4,0.6453643326605599,"No","good rating","Costly",0
"POCO C51 (Power Black, 64 GB)",0.06666666666666665,42,4,1,"No","poor rating","Affordable",0
"REDMI A2 (Aqua Blue, 64 GB)",0,45,4.1,0,"No","poor rating","Affordable",0
"REDMI 12 (Jade Black, 128 GB)",0.8888888888888888,36,4.3,0.5509431765253843,"No","good rating","Costly",0
"REDMI 12 (Pastel Blue, 128 GB)",0.8888888888888888,36,4.3,0.5509431765253843,"No","good rating","Costly",0
"Infinix SMART 8 HD (Shiny Gold, 64 GB)",0.1777777777777778,21,4.4,0.02529369145577809,"No","good rating","Affordable",0
"Infinix SMART 8 HD (Crystal Green, 64 GB)",0.1777777777777778,21,4.4,0.02529369145577809,"No","good rating","Affordable",0
"Infinix SMART 8 HD (Timber Black, 64 GB)",0.1777777777777778,21,4.4,0.02529369145577809,"No","good rating","Affordable",0
"MOTOROLA g14 (Pale Lilac, 128 GB)",0.6666666666666667,34,4.1,0.2086891269471614,"No","poor rating","Costly",0
